id	filename	md5	size	state
3471a0e0-078e-421b-bfc2-697c24d4193d	TCGA-E1-5319-01A-01R-1895-13_mirna_gdc_realn.bam	f44bb7553c4e7baeed1e509c18055892	71032336	released
ef2be940-243c-44dd-9123-4de3021135d8	TCGA-DU-A7TI-01A-11R-A342-13_mirna_gdc_realn.bam	4d4028c3cf9f4c13129b19b79ebc8983	177874079	released
e3c530df-2c8a-488b-a48b-fafe04221c96	TCGA-IK-8125-01A-11R-2255-13_mirna_gdc_realn.bam	6216a8d52b1d87411c03553d24eb5f49	156362511	released
a8b63bcd-9724-419f-bea7-42afa238f505	TCGA-S9-A6WD-01A-12R-A342-13_mirna_gdc_realn.bam	a2bff41079c8c7612c01a08fec5e9573	143213015	released
c18df5ad-32b2-4f9c-8f80-135b985fe63c	TCGA-HT-A74O-01A-11R-A360-13_mirna_gdc_realn.bam	ca109fc653b88fec9351c4cb326960d4	165931243	released
393f0425-a4d8-4268-8b97-67092edf47e2	TCGA-P5-A77X-01A-11R-A32L-13_mirna_gdc_realn.bam	c1cb774728bb6912db5bafe6bd1b79ee	201486691	released
c5a33a50-9899-4cbf-8781-d88b51ed3c86	TCGA-FG-5965-01B-11R-1895-13_mirna_gdc_realn.bam	e886c3d82ae178f4c45f0288517562b6	369111419	released
a69edbe2-73dc-4eb9-9821-cf202a4f4902	TCGA-DH-A66B-01A-11R-A29V-13_mirna_gdc_realn.bam	64ebcc5941e50c6b4c4f08cbea2a878c	170621290	released
9316e776-ba25-442f-ad1d-ff02267329ca	TCGA-FN-7833-01A-11R-2089-13_mirna_gdc_realn.bam	4964894e3261bc1c5e2bf0b2c0d1ca05	283308996	released
b70dfe0d-ecc3-44e7-b57b-7f8dd9cb9dfc	TCGA-HW-8321-01A-11R-2401-13_mirna_gdc_realn.bam	4887eab335f11df35b33cc7569860c79	326084505	released
869b57c1-9c1b-4031-a4a4-66c0c8b54820	TCGA-HT-7693-01A-11R-2255-13_mirna_gdc_realn.bam	356068783cede7b9388ccf6832703c08	245455371	released
c2a9f621-ccbf-49db-9373-6a75512c0e1e	TCGA-DU-7298-01A-11R-2026-13_mirna_gdc_realn.bam	17aba2d18529abb4b30d470c36564d73	205508948	released
bd0a8af0-9ec8-42cb-a028-201f010bf08a	TCGA-FG-A713-01A-11R-A360-13_mirna_gdc_realn.bam	bc5dd590fa10eee8848148eb4c43bffc	100157512	released
4060f51d-cf6a-4b40-a1f8-9b4ef8aea339	TCGA-DU-A5TP-01A-11R-A28I-13_mirna_gdc_realn.bam	58f8fb7da90e095c087fe4717cd9bc1c	337510906	released
fc193c62-4cd8-46ca-93bd-8a78074de35a	TCGA-HT-7686-01A-11R-2255-13_mirna_gdc_realn.bam	37831643ad748e5561859fd1ec6c7486	190734604	released
fd649843-5db1-4ead-8baf-214df062d306	TCGA-TM-A7CF-01A-11R-A360-13_mirna_gdc_realn.bam	c38663db4722a1281f9485a966e69f04	92651627	released
